"System_ID","FIPS","System_Name","FTE_Reported_on_2025_QBE_Allotment","Local_Revenues","Per_FTE_Local","X_Local","State_Revenues","Per_FTE_State","X_State","Federal_Revenues","Per_FTE_Federal","X_Federal","Total_Revenues","Per_FTE_Total_Revenues","Instruction","Per_FTE_Instruction","Pupil_Services","Per_FTE_Pupil_Services","Staff_Services","X","Per_FTE_Staff_Services","General_Administration","Per_FTE_General_Administration","School_Administration","Per_FTE_School_Administration","Transportation","Per_FTE_Transportation","Maintenance_Operation","Per_FTE_Maintenance_Operation","Total_Expenditure","Per_FTE_total_Expenditure"
"636","13057","Columbia County","28,626","157,259,406.04","5,493.59","40.68","217,399,076.89","7,594.46","56.24","11,915,191.92","416.24","3.08","386,573,674.85","13,504.29","238,292,016.00","8,324.32","9,704,847.36","339.02","21,087,107.16","","736.64","6,362,050.89","222.25","21,149,900.30","738.84","18,962,392.73","662.42","32,400,002.16","1,131.84","347,958,316.60","12,155.33"
"637","13057","Cook County","2,867","9,296,068.68","3,242.44","22.78","27,704,158.69","9,663.12","67.89","3,804,479.78","1,326.99","9.32","40,804,707.15","14,232.55","26,118,737.05","9,110.13","1,931,186.07","673.59","1,293,736.36","","451.25","1,793,934.46","625.72","2,267,042.88","790.74","2,376,519.82","828.92","3,934,754.71","1,372.43","39,715,911.35","13,852.78"
"638","13059","Coweta County","22,759","162,731,951.62","7,150.22","49.37","149,022,849.84","6,547.86","45.21","17,867,608.87","785.08","5.42","329,622,410.33","14,483.16","217,100,589.70","9,539.11","14,859,194.51","652.89","10,808,800.85","","474.92","9,509,890.03","417.85","22,439,029.41","985.94","17,683,932.40","777.01","28,469,331.89","1,250.90","320,870,768.79","14,098.62"
"639","13059","Crawford County","1,470","7,795,002.00","5,302.72","33.17","14,041,209.94","9,551.84","59.75","1,665,196.67","1,132.79","7.09","23,501,408.61","15,987.35","13,845,754.07","9,418.88","1,765,485.83","1,201.01","1,066,938.45","","725.81","1,073,200.19","730.07","1,709,400.75","1,162.86","1,455,556.33","990.17","1,658,728.13","1,128.39","22,575,063.75","15,357.19"
"640","13059","Crisp County","3,117","14,100,000.38","4,523.58","27","31,272,368.84","10,032.84","59.88","6,848,903.13","2,197.27","13.12","52,221,272.35","16,753.69","30,726,529.34","9,857.73","3,400,410.82","1,090.92","3,246,707.73","","1,041.61","2,421,346.68","776.82","3,500,039.16","1,122.89","2,804,383.20","899.71","5,726,661.81","1,837.24","51,826,078.74","16,626.92"
"641","13061","Dade County","1,885","9,785,723.29","5,191.37","37.08","15,123,449.28","8,023.05","57.31","1,480,407.60","785.36","5.61","26,389,580.17","13,999.78","17,032,868.35","9,036.00","1,182,585.95","627.37","1,369,533.50","","726.54","807,280.22","428.27","1,664,836.17","883.2","1,234,465.37","654.89","2,290,907.99","1,215.34","25,582,477.55","13,571.61"
"642","13063","Dawson County","4,258","35,084,583.60","8,239.69","54.54","27,413,382.50","6,438.09","42.62","1,829,674.37","429.7","2.84","64,327,640.47","15,107.48","38,606,807.25","9,066.89","3,279,594.68","770.22","5,116,743.39","","1,201.68","1,721,355.36","404.26","3,440,966.61","808.12","3,862,812.48","907.19","5,479,731.58","1,286.93","61,508,011.35","14,445.29"
"643","13063","Decatur County","4,010","20,421,995.93","5,092.77","33.36","34,325,084.01","8,559.87","56.07","6,472,426.14","1,614.07","10.57","61,219,506.08","15,266.71","35,438,671.15","8,837.57","2,965,343.94","739.49","2,975,332.98","","741.98","1,579,047.96","393.78","3,002,386.54","748.72","3,367,731.48","839.83","6,290,443.57","1,568.69","55,618,957.62","13,870.06"
"644","13063","DeKalb County","93,513","1,010,115,796.99","10,801.88","54.91","639,190,905.47","6,835.32","34.75","190,336,118.82","2,035.40","10.35","1,839,642,821.28","19,672.60","994,234,545.97","10,632.05","140,362,249.16","1,500.99","83,576,192.64","","893.74","143,237,698.98","1,531.74","100,888,623.56","1,078.87","90,203,706.00","964.61","210,000,097.55","2,245.68","1,762,503,113.86","18,847.68"
"645","13063","Dodge County","2,580","8,340,180.06","3,232.63","20.24","27,039,666.25","10,480.49","65.62","5,827,633.81","2,258.77","14.14","41,207,480.12","15,971.89","23,833,951.37","9,237.97","2,192,964.54","849.99","1,898,281.21","","735.77","1,544,300.22","598.57","1,829,310.38","709.04","2,341,012.56","907.37","2,485,241.48","963.27","36,125,061.76","14,001.98"
"646","13063","Dooly County","1,045","9,120,169.26","8,727.43","41.15","9,279,578.90","8,879.98","41.87","3,762,007.64","3,600.01","16.98","22,161,755.80","21,207.42","9,619,162.80","9,204.94","1,008,895.17","965.45","1,668,899.29","","1,597.03","2,646,150.27","2,532.20","1,505,486.52","1,440.66","1,763,766.25","1,687.81","1,659,981.23","1,588.50","19,872,341.53","19,016.59"
"647","13065","Dougherty County","12,526","52,955,996.05","4,227.69","25.34","127,672,232.83","10,192.58","61.09","28,355,073.18","2,263.70","13.57","208,983,302.06","16,683.97","116,683,191.62","9,315.28","11,919,700.72","951.6","21,091,879.69","","1,683.85","17,452,068.82","1,393.27","13,021,651.54","1,039.57","7,444,898.92","594.36","19,404,171.45","1,549.11","207,017,562.76","16,527.04"
"648","13067","Douglas County","25,849","146,530,791.63","5,668.72","40.53","191,815,143.62","7,420.60","53.05","23,212,589.31","898.01","6.42","361,558,524.56","13,987.33","216,818,169.09","8,387.87","14,003,670.52","541.75","22,298,067.44","","862.63","16,306,642.40","630.84","28,292,201.63","1,094.52","19,001,496.29","735.1","30,738,697.38","1,189.16","347,458,944.75","13,441.87"
"649","13067","Early County","1,426","9,395,490.87","6,588.70","37.41","13,207,933.11","9,262.23","52.59","2,512,511.87","1,761.93","10","25,115,935.85","17,612.86","15,570,856.31","10,919.25","1,335,261.89","936.37","1,207,393.15","","846.7","1,114,917.38","781.85","1,560,761.51","1,094.50","1,016,597.72","712.9","2,298,255.67","1,611.68","24,104,043.63","16,903.25"
"650","13067","Echols County","917","2,498,132.18","2,724.24","19.14","9,554,471.74","10,419.27","73.2","999,683.42","1,090.17","7.66","13,052,287.34","14,233.68","7,002,707.08","7,636.54","401,909.28","438.29","415,489.95","","453.1","1,071,864.70","1,168.88","569,912.34","621.5","594,477.05","648.28","900,622.76","982.14","10,956,983.16","11,948.73"
"651","13067","Effingham County","14,067","71,844,764.40","5,107.33","36.19","120,399,396.17","8,559.00","60.65","6,259,644.74","444.99","3.15","198,503,805.31","14,111.32","127,151,470.14","9,038.99","15,037,504.30","1,068.99","12,742,745.40","","905.86","7,546,764.46","536.49","12,745,312.21","906.04","9,975,101.62","709.11","17,342,051.00","1,232.82","202,540,949.13","14,398.30"
"652","13067","Elbert County","2,887","14,332,734.55","4,964.58","30.83","27,320,625.26","9,463.33","58.76","4,842,298.01","1,677.28","10.41","46,495,657.82","16,105.19","26,523,272.85","9,187.14","1,896,954.51","657.07","2,542,513.36","","880.68","1,768,687.86","612.64","2,962,826.68","1,026.26","2,710,306.99","938.8","3,866,449.87","1,339.26","42,271,012.12","14,641.85"
"653","13067","Emanuel County","3,768","10,832,504.40","2,874.87","19.06","39,432,696.70","10,465.15","69.37","6,577,999.38","1,745.75","11.57","56,843,200.48","15,085.77","33,293,041.89","8,835.73","3,601,267.92","955.75","2,345,895.66","","622.58","3,890,754.27","1,032.58","3,216,595.95","853.66","2,880,094.14","764.36","3,733,947.41","990.96","52,961,597.24","14,055.62"
"654","13067","Evans County","1,733","5,858,264.03","3,380.42","21.44","19,071,497.60","11,004.90","69.81","2,391,277.15","1,379.85","8.75","27,321,038.78","15,765.17","14,970,172.35","8,638.30","1,997,026.85","1,152.35","1,795,837.64","","1,036.26","1,923,818.50","1,110.11","2,264,699.72","1,306.81","1,168,243.99","674.12","2,391,116.65","1,379.76","26,510,915.70","15,297.71"
"655","13067","Fannin County","2,682","29,035,010.17","10,825.88","64.55","13,598,898.48","5,070.43","30.23","2,347,269.86","875.19","5.22","44,981,178.51","16,771.50","28,221,872.68","10,522.70","2,613,002.30","974.27","3,357,255.28","","1,251.77","1,762,672.45","657.22","3,094,302.36","1,153.73","2,991,988.78","1,115.58","4,286,422.97","1,598.22","46,327,516.82","17,273.49"
"656","13069","Fayette County","19,849","156,280,503.55","7,873.47","51.61","138,493,156.72","6,977.34","45.74","8,017,337.83","403.92","2.65","302,790,998.10","15,254.73","192,101,410.00","9,678.14","18,578,667.86","936","13,478,648.78","","679.06","10,840,351.50","546.14","18,328,891.47","923.42","10,614,397.67","534.76","23,009,051.06","1,159.20","286,951,418.34","14,456.72"
"657","13071","Floyd County","8,682","60,613,111.77","6,981.47","41.34","79,032,981.72","9,103.08","53.91","6,964,706.29","802.2","4.75","146,610,799.78","16,886.75","88,352,709.40","10,176.54","5,385,061.96","620.26","6,387,058.22","","735.67","5,898,017.04","679.34","8,401,357.73","967.68","5,245,457.19","604.18","12,124,786.59","1,396.54","131,794,448.13","15,180.21"
"658","13073","Forsyth County","55,313","385,716,325.41","6,973.34","51.9","343,157,458.27","6,203.92","46.18","14,287,270.23","258.3","1.92","743,161,053.91","13,435.56","524,236,986.82","9,477.65","20,296,681.11","366.94","21,590,318.10","","390.33","24,413,317.58","441.37","40,640,671.66","734.74","42,939,582.24","776.3","54,731,032.27","989.48","728,848,589.78","13,176.81"
"659","13073","Franklin County","3,604","18,504,779.37","5,134.51","35.56","30,357,845.64","8,423.38","58.33","3,178,576.17","881.96","6.11","52,041,201.18","14,439.85","33,573,902.94","9,315.73","2,220,255.47","616.05","3,054,496.73","","847.53","1,707,954.14","473.91","3,181,313.59","882.72","4,854,759.38","1,347.05","4,386,891.72","1,217.23","52,979,573.97","14,700.22"
"660","13075","Fulton County","86,863","909,199,909.94","10,467.06","61.11","505,278,907.95","5,816.96","33.96","73,365,609.73","844.61","4.93","1,487,844,427.62","17,128.63","888,885,801.60","10,233.19","111,501,186.43","1,283.64","108,413,270.08","","1,248.09","83,554,639.22","961.91","92,925,546.73","1,069.79","70,319,518.50","809.55","145,330,767.29","1,673.10","1,500,930,729.85","17,279.27"
"661","13075","Gilmer County","4,174","28,015,071.69","6,711.80","47.15","26,697,042.69","6,396.03","44.93","4,708,341.34","1,128.02","7.92","59,420,455.72","14,235.85","38,871,759.16","9,312.83","2,525,968.33","605.17","3,652,900.58","","875.16","1,946,413.14","466.32","3,645,423.62","873.36","3,334,429.17","798.86","6,133,990.00","1,469.57","60,110,884.00","14,401.27"
"662","13075","Glascock County","548","1,850,298.27","3,376.46","19.45","6,091,019.00","11,115.00","64.03","1,571,638.61","2,867.95","16.52","9,512,955.88","17,359.41","5,248,363.58","9,577.31","688,334.27","1,256.08","560,410.42","","1,022.65","932,621.50","1,701.86","372,193.18","679.18","432,494.72","789.22","999,804.97","1,824.46","9,234,222.64","16,850.76"
"663","13077","Glynn County","12,701","110,192,202.86","8,675.87","55.11","76,482,055.48","6,021.73","38.25","13,262,771.00","1,044.23","6.63","199,937,029.34","15,741.83","129,182,133.79","10,171.02","7,256,845.98","571.36","9,806,568.27","","772.11","5,801,865.41","456.8","11,021,478.76","867.76","8,739,318.17","688.08","19,260,560.62","1,516.46","191,068,771.00","15,043.59"
"664","13077","Gordon County","6,104","26,942,227.04","4,413.86","30.48","56,876,729.59","9,317.94","64.35","4,571,702.59","748.97","5.17","88,390,659.22","14,480.77","54,071,041.99","8,858.30","3,693,015.10","605.02","4,130,656.95","","676.71","3,746,985.24","613.86","5,925,738.17","970.8","4,773,120.74","781.97","8,044,841.96","1,317.96","84,385,400.15","13,824.62"
"665","13077","Grady County","4,381","13,367,483.23","3,051.24","23.25","39,506,406.07","9,017.67","68.71","4,624,923.72","1,055.68","8.04","57,498,813.02","13,124.59","34,120,371.91","7,788.26","2,336,604.83","533.35","3,463,154.42","","790.49","1,267,693.13","289.36","3,304,477.83","754.27","1,964,317.15","448.37","4,971,888.63","1,134.88","51,428,507.90","11,738.98"
