,,,,,,,,,,,,,
"Georgia Department of Education

School System Revenues
Fiscal Year 2025 Financial Data Collection System",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Please note: Systems marked with *  received funds that followed students to other systems.
              Legend at bottom of the page.",,,,,,,,,,,,,
,,,,,,,,,,,,,
Records are sorted in Ascending order by System_id,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
System ID,System Name,FTE Reported on 2025 QBE Allotment,Local Revenues,Per FTE Local,% Local,State Revenues,Per FTE State,% State,Federal Revenues,Per FTE Federal,% Federal,Total Revenues,Per FTE Total Revenues
 747,Walton County,"14,556","90,950,994.62","6,248.35",44.36,"104,949,310.82","7,210.04",51.19,"9,131,593.08",627.34,4.45,"205,031,898.52","14,085.73"
 748,Ware County,"5,673","20,589,472.65","3,629.38",23.20,"60,484,271.04","10,661.78",68.16,"7,659,691.86","1,350.20",8.63,"88,733,435.55","15,641.36"
 749,Warren County,662,"4,514,028.96","6,818.77",35.65,"7,073,638.20","10,685.25",55.86,"1,075,307.07","1,624.33",8.49,"12,662,974.23","19,128.35"
 750,Washington County,"2,610","14,800,611.24","5,670.73",38.07,"21,127,744.89","8,094.92",54.34,"2,952,305.74","1,131.15",7.59,"38,880,661.87","14,896.80"
 751,Wayne County,"5,159","17,718,584.75","3,434.50",24.61,"47,404,358.20","9,188.67",65.85,"6,864,855.04","1,330.66",9.54,"71,987,797.99","13,953.83"
 752,Webster County,216,"1,967,844.22","9,110.39",35.14,"3,183,156.00","14,736.83",56.83,"449,763.40","2,082.24",8.03,"5,600,763.62","25,929.46"
 753,Wheeler County,788,"3,226,919.67","4,095.08",23.83,"8,977,235.70","11,392.43",66.29,"1,338,060.98","1,698.05",9.88,"13,542,216.35","17,185.56"
 754,White County,"3,707","23,892,509.30","6,445.24",42.61,"28,767,013.44","7,760.19",51.31,"3,408,670.13",919.52,6.08,"56,068,192.87","15,124.95"
 755,Whitfield County,"12,078","45,710,168.27","3,784.58",27.44,"112,814,861.31","9,340.53",67.72,"8,059,316.38",667.27,4.84,"166,584,345.96","13,792.38"
 756,Wilcox County,"1,070","4,113,637.52","3,844.52",24.16,"11,034,160.99","10,312.30",64.80,"1,879,519.26","1,756.56",11.04,"17,027,317.77","15,913.38"
 757,Wilkes County,"1,211","8,971,772.12","7,408.56",43.35,"10,066,194.44","8,312.30",48.63,"1,660,409.01","1,371.11",8.02,"20,698,375.57","17,091.97"
 758,Wilkinson County,990,"8,286,130.21","8,369.83",46.86,"8,281,886.58","8,365.54",46.83,"1,116,392.90","1,127.67",6.31,"17,684,409.69","17,863.04"
 759,Worth County,"2,937","10,234,137.15","3,484.55",24.92,"26,450,622.80","9,006.00",64.40,"4,385,901.76","1,493.33",10.68,"41,070,661.71","13,983.88"
 761,Atlanta Public Schools,"49,515","980,019,806.77","19,792.38",73.98,"265,489,927.82","5,361.81",20.04,"79,154,094.57","1,598.59",5.98,"1,324,663,829.16","26,752.78"
 763,Bremen City,"2,278","8,197,721.61","3,598.65",27.32,"20,700,132.66","9,086.98",68.98,"1,110,638.12",487.55,3.70,"30,008,492.39","13,173.18"
 764,Buford City,"6,129","53,650,277.12","8,753.51",57.30,"37,785,744.47","6,165.07",40.36,"2,190,263.77",357.36,2.34,"93,626,285.36","15,275.94"
 765,Calhoun City,"4,188","18,527,614.56","4,423.98",36.87,"28,756,562.57","6,866.42",57.23,"2,965,286.43",708.04,5.90,"50,249,463.56","11,998.44"
 766,Carrollton City,"5,803","27,587,333.64","4,753.98",36.49,"43,782,867.97","7,544.87",57.92,"4,223,812.53",727.87,5.59,"75,594,014.14","13,026.72"
 767,Cartersville City,"4,682","34,268,085.27","7,319.11",50.22,"31,257,136.27","6,676.02",45.81,"2,704,190.19",577.57,3.96,"68,229,411.73","14,572.70"
 769,Chickamauga City,"1,268","4,170,641.75","3,289.15",24.87,"11,951,262.20","9,425.29",71.27,"646,231.56",509.65,3.85,"16,768,135.51","13,224.09"
 771,Commerce City,"1,884","18,925,673.95","10,045.47",54.72,"14,666,372.72","7,784.70",42.41,"992,157.95",526.62,2.87,"34,584,204.62","18,356.79"
 772,Dalton Public Schools,"7,780","45,143,450.44","5,802.50",38.79,"64,509,151.96","8,291.66",55.43,"6,737,240.55",865.97,5.79,"116,389,842.95","14,960.13"
 773,City Schools of Decatur,"5,302","67,201,275.85","12,674.70",60.80,"41,162,080.05","7,763.50",37.24,"2,169,890.24",409.26,1.96,"110,533,246.14","20,847.46"
 774,Dublin City,"2,244","14,839,788.18","6,613.10",42.84,"14,733,033.46","6,565.52",42.53,"5,070,962.93","2,259.79",14.64,"34,643,784.57","15,438.41"
 776,Gainesville City,"9,024","52,964,653.35","5,869.31",45.65,"56,309,210.14","6,239.94",48.53,"6,761,972.41",749.33,5.83,"116,035,835.90","12,858.58"
 779,Jefferson City,"4,161","21,265,925.80","5,110.77",41.36,"28,801,265.40","6,921.72",56.02,"1,346,761.17",323.66,2.62,"51,413,952.37","12,356.15"
 781,Marietta City,"9,108","93,617,478.84","10,278.60",55.39,"69,937,322.42","7,678.67",41.38,"5,469,419.09",600.51,3.24,"169,024,220.35","18,557.78"
 7820108,State Specialty Schools I-Mountain Education High School,"1,602","2,549,829.54","1,591.65",13.18,"15,830,890.21","9,881.95",81.84,"962,334.06",600.71,4.98,"19,343,053.81","12,074.31"
 7820110,State Specialty Schools I-Odyssey Charter School,360,"25,830.61",71.75,0.24,"5,507,675.00","15,299.10",51.97,"5,064,873.39","14,069.09",47.79,"10,598,379.00","29,439.94"
 7820120,State Specialty Schools I-Georgia Cyber Academy (Virtual),"10,151","191,698.66",18.88,0.16,"107,514,015.54","10,591.47",90.44,"11,168,962.06","1,100.28",9.40,"118,874,676.26","11,710.63"
 7820412,State Specialty Schools I-Georgia Connections Academy (Virtual),"7,008",,,,"67,386,716.87","9,615.68",94.29,"4,082,748.13",582.58,5.71,"71,469,465.00","10,198.26"
 7820612,"State Specialty Schools I-Ivy Preparatory Academy, Inc",431,"534,946.83","1,241.18",7.15,"6,461,115.00","14,990.99",86.30,"490,447.25","1,137.93",6.55,"7,486,509.08","17,370.10"
 7820613,State Specialty Schools I-Foothills Regional High School,"1,382","3,304,170.73","2,390.86",15.13,"16,808,296.00","12,162.30",76.96,"1,728,161.21","1,250.48",7.91,"21,840,627.94","15,803.64"
 7820614,State Specialty Schools I-International Charter School of Atlanta,849,"7,829,834.33","9,222.42",64.79,"4,056,109.47","4,777.51",33.56,"198,811.23",234.17,1.65,"12,084,755.03","14,234.10"
 7820615,State Specialty Schools I-Scintilla Charter Academy,949,"16,632.11",17.53,0.12,"12,161,912.72","12,815.50",90.63,"1,241,014.93","1,307.71",9.25,"13,419,559.76","14,140.74"
 7820616,State Specialty Schools I-Georgia School for Innovation and the Classics,"1,009","102,038.44",101.13,0.76,"13,029,539.71","12,913.32",97.62,"216,108.00",214.18,1.62,"13,347,686.15","13,228.63"
 7820617,State Specialty Schools I-Dubois Integrity Academy,"1,328","69,681.78",52.47,0.33,"19,606,536.10","14,763.96",93.24,"1,351,091.87","1,017.39",6.43,"21,027,309.75","15,833.82"
 7820618,State Specialty Schools I-Coastal Plains High School,"1,066","819,018.93",768.31,5.87,"12,103,771.54","11,354.38",86.76,"1,028,006.84",964.36,7.37,"13,950,797.31","13,087.05"
